Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Acetocillin,Antidiabetic,Cream,938 mg,Roche Holding AG,Virus,Over-the-Counter
Ibuprocillin,Antiviral,Injection,337 mg,CSL Limited,Infection,Over-the-Counter
Dextrophen,Antibiotic,Ointment,333 mg,Johnson & Johnson,Wound,Prescription
Clarinazole,Antifungal,Syrup,362 mg,AbbVie Inc.,Pain,Prescription
Amoxicillin,Antifungal,Tablet,802 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Ibupromycin,Antibiotic,Injection,140 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Metovir,Antipyretic,Ointment,641 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Ibuprovir,Antidepressant,Syrup,758 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefcillin,Antipyretic,Tablet,954 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Acetomycin,Analgesic,Inhaler,838 mg,Novo Nordisk A/S,Wound,Prescription
Ibuprocillin,Antifungal,Ointment,422 mg,AbbVie Inc.,Wound,Prescription
Acetonazole,Antipyretic,Ointment,575 mg,Bayer AG,Wound,Prescription
Dolocillin,Antiviral,Ointment,451 mg,Novo Nordisk A/S,Diabetes,Prescription
Cefmet,Antifungal,Tablet,440 mg,AstraZeneca plc,Depression,Prescription
Dolophen,Antibiotic,Capsule,469 mg,Johnson & Johnson,Depression,Prescription
Ibupronazole,Analgesic,Injection,720 mg,Novartis AG,Fungus,Prescription
Amoxiprofen,Antiviral,Ointment,861 mg,Novo Nordisk A/S,Diabetes,Prescription
Acetomycin,Antiviral,Drops,978 mg,Roche Holding AG,Virus,Over-the-Counter
Amoxistatin,Antiviral,Inhaler,46 mg,Sanofi S.A.,Fever,Over-the-Counter
Dextrocillin,Antidiabetic,Inhaler,392 mg,Sanofi S.A.,Pain,Over-the-Counter
Metovir,Antifungal,Injection,124 mg,"Merck & Co., Inc.",Diabetes,Prescription
Cefmet,Analgesic,Cream,649 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Clariphen,Antidiabetic,Syrup,300 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
